code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
LAO,0.045629,0.044668,0.05059,0.073775,0.052721,0.055689,0.04008,0.037957,0.040151,0.055132,0.046958,0.051728,0.071439,0.039887,0.046565,0.072261,0.048878,0.06831,0.068627,0.062643
CHN,0.00076724,0.0006546,0.00064718,0.00077613,0.00067809,0.00059072,0.00054755,0.00051306,0.00014985,0.00081424,0.00096892,0.00096041,0.0010675,0.00067352,0.00059054,0.00010763,0.0005773,0.00054033,0.00071015,0.00099256
GBR,0.0011655,0.0011934,0.0012024,0.0011222,0.0012082,0.0011953,0.0013819,0.0013117,0.0011913,0.0013171,0.0012388,0.0012278,0.0010762,0.0010302,0.0012735,0.001072,0.0010425,0.0012972,0.0013384,0.0012866
THA,0.12525,0.12558,0.13745,0.16732,0.14621,0.14493,0.11951,0.11142,0.12117,0.15862,0.14037,0.1403,0.17854,0.12019,0.12778,0.19284,0.14626,0.17439,0.18974,0.16935
HTI,0.0034586,0.0035374,0.0036073,0.0033156,0.0036033,0.0035214,0.0041543,0.0039673,0.0035741,0.0039157,0.0036852,0.0036365,0.0031723,0.0030298,0.003793,0.0031075,0.0030289,0.0038408,0.0039955,0.0038786
DOM,0.0033229,0.0034051,0.0035723,0.003147,0.0034482,0.0033364,0.0038389,0.0036465,0.0032943,0.0036593,0.0034436,0.0033711,0.0030799,0.0029671,0.0035017,0.0030165,0.0029169,0.0036538,0.0037502,0.0037313
PHL,0.032296,0.034969,0.038579,0.034425,0.031099,0.032181,0.034915,0.036289,0.03764,0.036514,0.032838,0.033239,0.032777,0.026859,0.030501,0.030913,0.028971,0.031203,0.031328,0.035969
YEM,0.016696,0.016842,0.016625,0.017141,0.015948,0.016441,0.017926,0.016444,0.016585,0.017681,0.015839,0.015703,0.014642,0.014331,0.012379,0.015177,0.016495,0.015522,0.015332,0.015238
JAM,0.0042423,0.0041719,0.0045922,0.0049414,0.0041891,0.0039278,0.0039453,0.0039831,0.0039478,0.0038845,0.0034302,0.0039449,0.0038472,0.0036853,0.0037702,0.0030136,0.0029044,0.0037903,0.0034776,0.0037703
BLZ,0.0060797,0.0051898,0.005541,0.0066463,0.0050085,0.0069782,0.0048775,0.0055257,0.0061839,0.006517,0.0054262,0.0051915,0.006495,0.0049552,0.0039566,0.0053753,0.0049514,0.0065951,0.006828,0.0064424
USA,0.00058055,0.00059802,0.00067466,0.0005316,0.00059598,0.00056074,0.0005985,0.00055887,0.00050944,0.00059063,0.00055574,0.00053085,0.00055333,0.00054501,0.00054431,0.00054167,0.00051286,0.00062119,0.00061329,0.00065424
KHM,0.043885,0.044433,0.050154,0.051634,0.051798,0.051819,0.044787,0.042931,0.047215,0.060194,0.048964,0.053532,0.061085,0.043844,0.047,0.070057,0.059127,0.072566,0.075604,0.064536
GBR,0.00002748,0.000028953,0.00002935,0.000026121,0.000025043,0.000025722,0.000027188,0.000027729,0.000026971,0.000034085,0.000030138,0.00002612,0.00002654,0.000033806,0.00003211,0.00003135,0.000034374,0.000031944,0.000031212,0.000029572
NLD,0.00041229,0.00041496,0.00051268,0.00039569,0.00037748,0.00047618,0.00043997,0.00042072,0.00046442,0.00048187,0.00052396,0.00048571,0.00040789,0.00037833,0.00046171,0.00036303,0.00056395,0.0004773,0.00039879,0.00047133
ERI,0.012108,0.011917,0.013706,0.014142,0.010886,0.012125,0.014662,0.01246,0.015189,0.011054,0.012225,0.01014,0.010066,0.0088785,0.01005,0.012929,0.012432,0.013315,0.014884,0.012349
GTM,0.016364,0.014672,0.01558,0.019792,0.01478,0.01889,0.013782,0.014942,0.017457,0.01682,0.0157,0.013811,0.017228,0.014523,0.013163,0.016055,0.014762,0.016548,0.017802,0.017273
USA,0.000098258,0.0001021,0.00011063,0.00009129,0.000096515,0.000093777,0.000099726,0.000096342,0.000090152,0.00010839,0.000099329,0.00009121,0.000094129,0.00010325,0.00010085,0.000099528,0.00010069,0.00010863,0.0001068,0.00010881
ATG,0.000054961,0.000057907,0.000058701,0.000052244,0.000050088,0.000051445,0.000054377,0.00005546,0.000053944,0.000068172,0.000060278,0.000052241,0.000053081,0.000067614,0.000064222,0.000062701,0.000068749,0.00006389,0.000062425,0.000059146
KNA,0.00005496,0.000057905,0.000058699,0.000052242,0.000050087,0.000051443,0.000054375,0.000055458,0.000053943,0.00006817,0.000060277,0.00005224,0.000053079,0.000067612,0.00006422,0.000062699,0.000068748,0.000063888,0.000062424,0.000059145
CPV,0.0025901,0.0027542,0.0026388,0.0024507,0.0026958,0.0026749,0.0025087,0.0027289,0.0025825,0.0026052,0.0024666,0.0026298,0.0026537,0.0024873,0.0025934,0.0023957,0.0025335,0.0026843,0.0026347,0.0027325
GBR,0.00010938,0.00011471,0.00013694,0.000099618,0.00010245,0.00010136,0.00011903,0.00010722,0.00011027,0.00012909,0.00011376,0.00011927,0.00010228,0.00010468,0.0001013,0.00010439,0.00011206,0.00012245,0.00010843,0.00011598
SEN,0.026756,0.021957,0.02516,0.018424,0.024591,0.019182,0.017129,0.023974,0.025787,0.021538,0.025517,0.019768,0.016721,0.020856,0.012953,0.032869,0.015749,0.024549,0.024673,0.024998
FRA,0.00012618,0.00013231,0.0001587,0.00011476,0.00011828,0.00011688,0.0001377,0.00012356,0.00012731,0.00014867,0.000131,0.00013814,0.00011786,0.00011968,0.00011589,0.00011968,0.00012837,0.00014108,0.00012451,0.00013373
HND,0.01244,0.012118,0.01376,0.017482,0.01201,0.013614,0.011734,0.012545,0.014516,0.013479,0.014053,0.011736,0.013682,0.012529,0.012652,0.015024,0.012999,0.013203,0.013981,0.013658
